,date,pv,temp,hum,light
0,2020-01-01 0:00,0,-4.9,50,0
1,2020-01-01 1:00,0,-4.6,48,0
2,2020-01-01 2:00,0,-4.7,50,0
3,2020-01-01 3:00,0,-4.5,52,0
4,2020-01-01 4:00,0,-3.5,48,0
5,2020-01-01 5:00,0,-3,51,0
6,2020-01-01 6:00,0,-3.6,58,0
7,2020-01-01 7:00,0,-3.8,59,0
8,2020-01-01 8:00,19200,-3.7,59,0.07
9,2020-01-01 9:00,1728000,-2.5,54,0.45
10,2020-01-01 10:00,4540800,-1,53,0.75
11,2020-01-01 11:00,3868800,0.2,50,1.08
12,2020-01-01 12:00,6652800,1.6,49,0.98
13,2020-01-01 13:00,3350400,3.1,51,1.11
14,2020-01-01 14:00,3446400,3.9,51,1.04
15,2020-01-01 15:00,2534400,4.3,50,1.27
16,2020-01-01 16:00,1660800,4.7,49,1.28
17,2020-01-01 17:00,787200,3.8,51,0.5
18,2020-01-01 18:00,67200,2.8,55,0.09
19,2020-01-01 19:00,0,2,59,0
20,2020-01-01 20:00,0,1.1,64,0
21,2020-01-01 21:00,0,0.4,68,0
22,2020-01-01 22:00,0,0.9,67,0
23,2020-01-01 23:00,0,-0.1,71,0
24,2020-01-02 0:00,0,-0.7,78,0
25,2020-01-02 1:00,0,-0.8,81,0
26,2020-01-02 2:00,0,-1.5,83,0
27,2020-01-02 3:00,0,-1.3,84,0
28,2020-01-02 4:00,0,-1.5,83,0
29,2020-01-02 5:00,0,-2,86,0
30,2020-01-02 6:00,0,-2.5,88,0
31,2020-01-02 7:00,0,-2.4,89,0
32,2020-01-02 8:00,0,-2,87,0.07
33,2020-01-02 9:00,288000,-0.6,82,0.36
34,2020-01-02 10:00,1718400,0.7,76,0.87
35,2020-01-02 11:00,2476800,3.4,64,1.4
36,2020-01-02 12:00,7190400,5.4,55,1.73
37,2020-01-02 13:00,7862400,6.7,50,1.88
38,2020-01-02 14:00,7507200,8,48,1.8
39,2020-01-02 15:00,6470400,8.4,46,1.46
40,2020-01-02 16:00,3369600,7.8,43,0.96
41,2020-01-02 17:00,1305600,6.7,47,0.44
42,2020-01-02 18:00,105600,5.6,52,0.09
43,2020-01-02 19:00,0,4.6,61,0
44,2020-01-02 20:00,0,3.6,65,0
45,2020-01-02 21:00,0,2.9,70,0
46,2020-01-02 22:00,0,3.3,70,0
47,2020-01-02 23:00,0,3.2,69,0
48,2020-01-03 0:00,0,2.8,75,0
49,2020-01-03 1:00,0,2.9,76,0
50,2020-01-03 2:00,0,2.7,77,0
51,2020-01-03 3:00,0,2.7,78,0
52,2020-01-03 4:00,0,2,80,0
53,2020-01-03 5:00,0,1.1,85,0
54,2020-01-03 6:00,0,0.5,89,0
55,2020-01-03 7:00,0,0.3,91,0
56,2020-01-03 8:00,0,0.4,92,0.07
57,2020-01-03 9:00,604800,1.3,87,0.26
58,2020-01-03 10:00,2083200,3.6,76,0.89
59,2020-01-03 11:00,4608000,5.5,66,1.2
60,2020-01-03 12:00,6374400,6.8,56,1.51
61,2020-01-03 13:00,6624000,7.9,51,1.97
62,2020-01-03 14:00,7430400,8,51,1.84
63,2020-01-03 15:00,6806400,8.3,49,1.52
64,2020-01-03 16:00,3744000,8.1,47,1.02
65,2020-01-03 17:00,1708800,7,53,0.47
66,2020-01-03 18:00,115200,6,60,0.08
67,2020-01-03 19:00,0,5,59,0
68,2020-01-03 20:00,0,3.8,66,0
69,2020-01-03 21:00,0,2.8,72,0
70,2020-01-03 22:00,0,2.6,76,0
71,2020-01-03 23:00,0,1.9,81,0
72,2020-01-04 0:00,0,1.8,81,0
73,2020-01-04 1:00,0,1.5,86,0
74,2020-01-04 2:00,0,0.6,88,0
75,2020-01-04 3:00,0,-0.3,91,0
76,2020-01-04 4:00,0,-0.4,93,0
77,2020-01-04 5:00,0,-0.7,93,0
78,2020-01-04 6:00,0,-1.1,94,0
79,2020-01-04 7:00,0,-1.1,93,0
80,2020-01-04 8:00,0,-1.4,93,0.06
81,2020-01-04 9:00,729600,-0.6,91,0.28
82,2020-01-04 10:00,1833600,2.3,80,0.95
83,2020-01-04 11:00,4780800,4.4,70,1.42
84,2020-01-04 12:00,7824000,6.7,59,1.79
85,2020-01-04 13:00,8928000,7.9,55,1.93
86,2020-01-04 14:00,7459200,8.1,50,1.46
87,2020-01-04 15:00,5721600,8.9,47,1.41
88,2020-01-04 16:00,4070400,8.5,48,1.03
89,2020-01-04 17:00,1507200,7.6,53,0.47
90,2020-01-04 18:00,67200,6.7,57,0.09
91,2020-01-04 19:00,0,6.1,62,0
92,2020-01-04 20:00,0,4.6,66,0
93,2020-01-04 21:00,0,4.1,64,0
94,2020-01-04 22:00,0,3.4,74,0
95,2020-01-04 23:00,0,3.1,81,0
96,2020-01-05 0:00,0,2.6,82,0
97,2020-01-05 1:00,0,1.6,87,0
98,2020-01-05 2:00,0,0.8,90,0
99,2020-01-05 3:00,0,0.9,92,0
100,2020-01-05 4:00,0,0.1,94,0
101,2020-01-05 5:00,0,-0.9,94,0
102,2020-01-05 6:00,0,-1.4,95,0
103,2020-01-05 7:00,0,-1.5,95,0
104,2020-01-05 8:00,19200,-1.5,94,0.06
105,2020-01-05 9:00,1056000,0,87,0.64
106,2020-01-05 10:00,2928000,1.6,77,1.26
107,2020-01-05 11:00,6585600,6.2,34,1.64
108,2020-01-05 12:00,8976000,7.6,30,2.01
