date,1h,2h,3h,4h,5h,6h,7h,8h,9h,10h,11h,12h,13h,14h,15h,16h,17h,18h,19h,20h,21h,22h,23h,24h
2020-02-13,0,0,0,0,0,0,0,0,211200,489600,643200,1046400,1219200,1305600,1641600,1555200,816000,230400,0,0,0,0,0,0
2020-02-14,0,0,0,0,0,0,0,105600,1382400,5299200,7804800,9292800,10070400,9849600,8611200,6182400,3417600,1017600,9600,0,0,0,0,0
2020-02-15,0,0,0,0,0,0,0,19200,1190400,4656000,4905600,5328000,3945600,1296000,816000,844800,336000,48000,0,0,0,0,0,0
2020-02-16,0,0,0,0,0,0,0,0,48000,547200,1017600,3446400,6441600,5260800,6153600,4300800,1718400,710400,9600,0,0,0,0,0
2020-02-17,0,0,0,0,0,0,0,0,19200,211200,403200,988800,1862400,2208000,2860800,1084800,998400,38400,0,0,0,0,0,0
2020-02-18,0,0,0,0,0,0,0,9600,921600,3331200,7824000,9561600,11347200,11088000,10060800,8121600,5184000,1689600,19200,0,0,0,0,0
2020-02-19,0,0,0,0,0,0,0,163200,1497600,4281600,6806400,7593600,10041600,9619200,8256000,6931200,3350400,825600,0,0,0,0,0,0
2020-02-20,0,0,0,0,0,0,0,307200,2899200,5961600,8390400,9801600,10185600,10041600,9244800,7353600,4579200,1401600,28800,0,0,0,0,0
2020-02-21,0,0,0,0,0,0,0,297600,2304000,4675200,7065600,8246400,9897600,9427200,7728000,4089600,1987200,441600,0,0,0,0,0,0
2020-02-22,0,0,0,0,0,0,0,230400,1968000,4704000,7228800,8736000,9177600,8937600,7900800,5865600,3081600,1094400,38400,0,0,0,0,0
2020-02-23,0,0,0,0,0,0,0,393600,3331200,6355200,8966400,10262400,10819200,10742400,9955200,8179200,5395200,1872000,38400,0,0,0,0,0
2020-02-24,0,0,0,0,0,0,0,422400,3216000,6182400,8217600,9552000,8697600,6988800,4224000,3283200,1488000,518400,0,0,0,0,0,0
2020-02-25,0,0,0,0,0,0,0,0,0,0,0,134400,729600,537600,307200,115200,0,0,0,0,0,0,0,0
2020-02-26,0,0,0,0,0,0,0,19200,547200,902400,4982400,9446400,7497600,6048000,8764800,6902400,4540800,1584000,48000,0,0,0,0,0
2020-02-27,0,0,0,0,0,0,0,278400,2208000,5107200,8121600,9571200,9484800,9264000,8294400,7228800,4396800,1488000,57600,0,0,0,0,0
2020-02-28,0,0,0,0,0,0,0,0,412800,787200,662400,710400,1276800,2217600,1776000,710400,307200,115200,0,0,0,0,0,0
2020-02-29,0,0,0,0,0,0,0,144000,748800,1228800,1526400,1632000,1526400,2083200,3187200,1968000,1238400,604800,38400,0,0,0,0,0
2020-03-01,0,0,0,0,0,0,0,57600,508800,1027200,1670400,2515200,3129600,2716800,2467200,1939200,633600,134400,0,0,0,0,0,0
