,date,load,workday
152,2023-08-30 14:00:00,62.36,1
153,2023-08-30 14:15:00,62.97,1
154,2023-08-30 14:30:00,62.86,1
155,2023-08-30 14:45:00,62.84,1
156,2023-08-30 15:00:00,63.05,1
157,2023-08-30 15:15:00,62.4,1
158,2023-08-30 15:30:00,62.2,1
159,2023-08-30 15:45:00,62.34,1
160,2023-08-30 16:00:00,62.22,1
161,2023-08-30 16:15:00,61.55,1
162,2023-08-30 16:30:00,61.7,1
163,2023-08-30 16:45:00,61.54,1
164,2023-08-30 17:00:00,61.54,1
165,2023-08-30 17:15:00,57.4,1
166,2023-08-30 17:30:00,55.27,1
167,2023-08-30 17:45:00,54.99,1
168,2023-08-30 18:00:00,55.24,1
169,2023-08-30 18:15:00,50.03,1
170,2023-08-30 18:30:00,49.65,1
171,2023-08-30 18:45:00,49.81,1
172,2023-08-30 19:00:00,49.68,1
173,2023-08-30 19:15:00,46.94,1
174,2023-08-30 19:30:00,46.74,1
175,2023-08-30 19:45:00,46.76,1
176,2023-08-30 20:00:00,46.62,1
177,2023-08-30 20:15:00,43.61,1
178,2023-08-30 20:30:00,43.44,1
179,2023-08-30 20:45:00,43.4,1
180,2023-08-30 21:00:00,43.45,1
181,2023-08-30 21:15:00,32.91,1
182,2023-08-30 21:30:00,32.43,1
183,2023-08-30 21:45:00,32.63,1
184,2023-08-30 22:00:00,32.41,1
185,2023-08-30 22:15:00,24.37,1
186,2023-08-30 22:30:00,24.1,1
187,2023-08-30 22:45:00,23.85,1
188,2023-08-30 23:00:00,23.83,1
189,2023-08-30 23:15:00,15.77,1
190,2023-08-30 23:30:00,15.08,1
191,2023-08-30 23:45:00,15.3,1
192,2023-08-31 00:00:00,15.23,1
193,2023-08-31 00:15:00,10.74,1
194,2023-08-31 00:30:00,10.55,1
195,2023-08-31 00:45:00,10.6,1
196,2023-08-31 01:00:00,11.03,1
197,2023-08-31 01:15:00,9.14,1
198,2023-08-31 01:30:00,8.81,1
199,2023-08-31 01:45:00,8.76,1
200,2023-08-31 02:00:00,8.82,1
201,2023-08-31 02:15:00,11.4,1
202,2023-08-31 02:30:00,11.52,1
203,2023-08-31 02:45:00,11.72,1
204,2023-08-31 03:00:00,11.38,1
205,2023-08-31 03:15:00,12.0,1
206,2023-08-31 03:30:00,11.93,1
207,2023-08-31 03:45:00,12.05,1
208,2023-08-31 04:00:00,11.99,1
209,2023-08-31 04:15:00,17.99,1
210,2023-08-31 04:30:00,18.63,1
211,2023-08-31 04:45:00,18.74,1
212,2023-08-31 05:00:00,18.66,1
213,2023-08-31 05:15:00,22.57,1
214,2023-08-31 05:30:00,23.11,1
215,2023-08-31 05:45:00,22.9,1
216,2023-08-31 06:00:00,22.85,1
217,2023-08-31 06:15:00,24.23,1
218,2023-08-31 06:30:00,24.23,1
219,2023-08-31 06:45:00,24.21,1
220,2023-08-31 07:00:00,24.16,1
221,2023-08-31 07:15:00,28.84,1
222,2023-08-31 07:30:00,29.1,1
223,2023-08-31 07:45:00,29.25,1
224,2023-08-31 08:00:00,29.19,1
225,2023-08-31 08:15:00,40.14,1
226,2023-08-31 08:30:00,40.94,1
227,2023-08-31 08:45:00,40.8,1
228,2023-08-31 09:00:00,40.99,1
229,2023-08-31 09:15:00,52.17,1
230,2023-08-31 09:30:00,52.64,1
231,2023-08-31 09:45:00,52.65,1
232,2023-08-31 10:00:00,53.24,1
233,2023-08-31 10:15:00,58.08,1
234,2023-08-31 10:30:00,58.02,1
235,2023-08-31 10:45:00,58.95,1
236,2023-08-31 11:00:00,60.02,1
237,2023-08-31 11:15:00,62.94,1
238,2023-08-31 11:30:00,63.53,1
239,2023-08-31 11:45:00,63.41,1
240,2023-08-31 12:00:00,62.65,1
241,2023-08-31 12:15:00,50.91,1
242,2023-08-31 12:30:00,46.32,1
243,2023-08-31 12:45:00,61.9,1
244,2023-08-31 13:00:00,61.8,1
245,2023-08-31 13:15:00,61.65,1
246,2023-08-31 13:30:00,61.72,1
247,2023-08-31 13:45:00,61.26,1
248,2023-08-31 14:00:00,60.81,1
249,2023-08-31 14:15:00,64.36,1
250,2023-08-31 14:30:00,62.83,1
251,2023-08-31 14:45:00,61.97,1
252,2023-08-31 15:00:00,63.21,1
253,2023-08-31 15:15:00,62.29,1
254,2023-08-31 15:30:00,62.12,1
255,2023-08-31 15:45:00,61.86,1
256,2023-08-31 16:00:00,62.05,1
257,2023-08-31 16:15:00,61.59,1
258,2023-08-31 16:30:00,61.24,1
259,2023-08-31 16:45:00,61.16,1
260,2023-08-31 17:00:00,61.4,1
261,2023-08-31 17:15:00,56.95,1
262,2023-08-31 17:30:00,56.62,1
263,2023-08-31 17:45:00,56.62,1
264,2023-08-31 18:00:00,56.62,1
265,2023-08-31 18:15:00,52.0,1
266,2023-08-31 18:30:00,51.2,1
267,2023-08-31 18:45:00,51.09,1
268,2023-08-31 19:00:00,51.23,1
269,2023-08-31 19:15:00,48.44,1
270,2023-08-31 19:30:00,46.28,1
271,2023-08-31 19:45:00,46.29,1
272,2023-08-31 20:00:00,44.51,1
273,2023-08-31 20:15:00,44.12,1
274,2023-08-31 20:30:00,43.33,1
